point_id,x_px,y_px,z_mm
P001,62,130,770.49
P002,316,146,779.26
P003,475,156,784.00
P004,651,166,789.79
P005,882,181,797.62
P006,52,326,764.96
P007,317,341,774.45
P008,467,349,780.48
P009,640,359,786.97
P010,869,372,796.31
P011,41,542,759.07
P012,317,554,768.05
P013,459,561,772.78
P014,627,568,778.46
P015,854,578,786.51
P016,30,764,768.84
P017,318,772,779.80
P018,451,775,785.05
P019,614,780,791.34
P020,840,786,799.95
P021,20,969,770.03
P022,318,980,781.38
P023,443,984,785.99
P024,602,990,792.13
P025,826,998,799.84
P026,8,1194,769.46
P027,319,1197,781.94
P028,435,1198,786.35
P029,589,1199,792.61
P030,812,1201,802.00
P031,319,1391,784.78
P032,428,1392,788.84
P033,577,1392,793.63
P034,799,1394,801.67
