point_id,x_px,y_px,z_mm
P001,246,15,734.20
P002,421,25,739.89
P003,620,36,746.64
P004,824,48,753.51
P005,235,190,716.46
P006,411,202,723.27
P007,610,217,730.86
P008,823,232,738.90
P009,1010,245,746.48
P010,217,457,734.87
P011,395,468,740.73
P012,594,479,746.67
P013,823,493,754.11
P014,1000,503,760.15
P015,202,682,733.38
P016,382,690,739.48
P017,581,698,745.46
P018,823,709,753.50
P019,990,716,759.02
P020,189,885,736.27
P021,370,892,741.70
P022,569,900,746.86
P023,823,910,754.95
P024,982,916,759.82
P025,174,1104,728.17
P026,358,1107,734.57
P027,556,1110,740.91
P028,822,1115,749.80
P029,973,1117,755.78
P030,160,1322,722.54
P031,345,1326,728.74
P032,543,1331,734.70
P033,822,1337,743.72
P034,964,1340,748.23
