point_id,x_px,y_px,z_mm
P001,140,131,777.19
P002,360,146,783.43
P003,534,158,789.07
P004,719,171,794.37
P005,956,188,802.93
P006,127,333,769.51
P007,347,344,775.68
P008,521,353,781.89
P009,707,363,788.34
P010,955,376,797.73
P011,115,536,763.56
P012,333,548,770.35
P013,508,558,776.06
P014,695,569,782.27
P015,955,584,791.19
P016,101,767,771.97
P017,318,774,779.15
P018,494,780,785.13
P019,681,786,791.99
P020,954,795,802.30
P021,89,964,771.14
P022,305,972,779.31
P023,482,978,785.80
P024,669,985,792.79
P025,953,995,803.97
P026,74,1192,771.11
P027,289,1196,778.57
P028,468,1200,785.47
P029,656,1203,792.59
P030,952,1209,804.67
P031,1053,1211,808.19
P032,63,1381,775.87
P033,277,1384,783.63
P034,456,1387,790.55
P035,644,1390,796.89
P036,952,1396,808.09
P037,1049,1397,811.27
