point_id,x_px,y_px,z_mm
P001,58,116,774.96
P002,233,130,780.56
P003,442,146,788.11
P004,643,161,794.98
P005,845,177,801.59
P006,1018,190,807.52
P007,48,325,769.00
P008,222,335,774.32
P009,430,347,780.82
P010,630,359,787.44
P011,832,371,793.24
P012,1004,381,799.80
P013,38,524,761.08
P014,211,534,766.81
P015,418,546,773.97
P016,618,558,781.13
P017,820,570,787.65
P018,990,580,793.55
P019,26,760,771.10
P020,198,767,776.50
P021,403,775,783.70
P022,603,783,790.08
P023,805,791,796.60
P024,974,798,802.57
P025,16,959,767.98
P026,187,965,774.10
P027,391,971,781.75
P028,591,978,789.01
P029,793,985,796.23
P030,961,990,803.01
P031,5,1180,767.70
P032,175,1185,773.64
P033,378,1191,781.90
P034,577,1197,789.27
P035,779,1204,795.92
P036,945,1209,802.60
P037,165,1375,778.36
P038,366,1379,786.37
P039,565,1383,793.93
P040,767,1387,801.62
P041,933,1390,807.48
