point_id,x_px,y_px,z_mm
P001,140,8,729.78
P002,346,24,736.48
P003,550,40,743.02
P004,809,60,751.98
P005,141,191,716.33
P006,339,205,723.06
P007,540,219,730.34
P008,796,237,739.13
P009,143,459,731.05
P010,329,467,736.83
P011,526,476,742.98
P012,779,488,751.63
P013,144,681,730.40
P014,321,688,735.40
P015,513,694,743.06
P016,764,703,751.81
P017,145,890,731.73
P018,313,895,736.89
P019,501,900,742.54
P020,750,906,750.13
P021,147,1101,727.19
P022,305,1104,733.06
P023,490,1107,740.09
P024,735,1112,748.64
P025,148,1332,720.43
P026,296,1333,725.08
P027,477,1334,731.51
P028,720,1335,739.24
