point_id,x_px,y_px,z_mm
P001,132,8,730.69
P002,351,22,738.32
P003,562,37,745.93
P004,782,52,752.91
P005,968,65,759.48
P006,121,182,710.40
P007,341,196,717.95
P008,552,210,725.91
P009,772,224,734.07
P010,957,235,741.80
P011,106,443,732.22
P012,326,457,739.78
P013,537,470,746.43
P014,756,484,752.92
P015,940,495,759.76
P016,93,671,731.42
P017,312,682,738.55
P018,524,693,745.60
P019,742,703,751.76
P020,925,712,757.82
P021,81,871,733.89
P022,301,881,741.67
P023,513,891,748.18
P024,730,900,754.39
P025,912,909,760.20
P026,68,1097,727.35
P027,288,1102,734.39
P028,500,1108,740.71
P029,717,1114,746.64
P030,899,1119,752.42
P031,56,1310,719.82
P032,275,1316,727.18
P033,488,1321,734.62
P034,704,1327,741.04
P035,885,1331,746.91
P036,1063,1336,752.42
